%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	hshift	vshift	tag
s	1	0.000000	5.000000	5.000000	1	n	n	p		instrux.jpg	0	0	instrux
s	1	0.000000	2.000000	2.000000	1	n	n	p		fix.jpg	0	0	fix
s	1	0.000000	6.000000	6.000000	1	n	n	t		We will work to change thoughts and behaviors that are feeding the negative feelings you've been experiencing.	0	0	cbt01
s	1	0.000000	2.000000	2.000000	1	n	n	p		fix.jpg	0	0	fix
s	1	0.000000	6.000000	6.000000	1	n	n	t		"For example, if you feel depressed, you will likely have many negative thoughts, possibly about yourself or others or about your life in general."	0	0	cbt01
s	1	0.000000	2.000000	2.000000	1	n	n	p		fix.jpg	0	0	fix
s	1	0.000000	6.000000	6.000000	1	n	n	t		"Also, when you're depressed, you're more likely to act in ways that only feed your negative thoughts and sadness."	0	0	cbt01
s	1	0.000000	2.000000	2.000000	1	n	n	p		fix.jpg	0	0	fix
s	1	0.000000	6.000000	6.000000	1	n	n	t		"These behaviors may include withdrawing socially, avoiding tasks, and poor self-care."	0	0	cbt01
s	1	0.000000	2.000000	2.000000	1	n	n	p		fix.jpg	0	0	fix
s	1	0.000000	6.000000	6.000000	1	n	n	t		"In therapy, you will learn skills to change unhelpful thought and behavior patterns, which will help you feel better emotionally."	0	0	cbt01
s	1	0.000000	2.000000	2.000000	1	n	n	p		fix.jpg	0	0	fix
s	1	0.000000	3.000000	3.000000	1	12345	n	p		relevance.jpg	0	0	relevance
s	1	0.000000	2.000000	2.000000	1	n	n	p		fix.jpg	0	0	fix
s	1	0.000000	3.000000	3.000000	1	12345	n	p		liking.jpg	0	0	liking
s	1	0.000000	2.000000	2.000000	1	n	n	p		fix.jpg	0	0	fix
s	1	0.000000	3.000000	3.000000	1	12345	n	p		helpfulness.jpg	0	0	helpfulness
s	1	0.000000	2.000000	2.000000	1	n	n	p		fix.jpg	0	0	fix
s	1	0.000000	5.000000	5.000000	1	n	n	p		instrux.jpg	0	0	instrux
s	1	0.000000	2.000000	2.000000	1	n	n	p		fix.jpg	0	0	fix
s	1	0.000000	6.000000	6.000000	1	n	n	t		"When you're depressed, people frequently overlook their negative thoughts, or cognitions and assume what they are thinking is truth or reality. In therapy, we work to question the reality created by depressive thoughts."	0	0	cbt02
